Tỉnh/Thành phố,Tỷ suất,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
Ninh Bình,Tỷ suất nhập cư,3.60,6.40,4.60,3.50,5.90,10.20,10.20,11.90,7.90,5.60,3.40,3.90,4.80,2.60,1.80,2.39,4.21,3.20,4.63
Ninh Bình,Tỷ suất xuất cư,6.20,9.10,6.20,12.50,9.20,8.50,6.40,11.10,7.50,4.50,2.60,3.00,5.50,6.50,2.28,4.69,2.07,3.89,6.15
Ninh Bình,Tỷ suất di cư thuần,-2.60,-2.70,-1.60,-9.00,-3.30,1.70,3.80,0.80,0.40,1.10,0.80,0.90,-0.60,-3.90,-0.48,-2.30,2.13,-0.69,-1.53
Ninh Thuận,Tỷ suất nhập cư,1.10,1.90,3.10,2.20,2.90,3.80,3.60,7.40,4.00,1.80,0.90,1.40,1.20,1.30,1.28,2.04,1.17,1.74,4.64
Ninh Thuận,Tỷ suất xuất cư,1.60,4.60,2.60,8.80,17.10,15.80,4.50,3.10,6.80,5.30,4.90,3.00,2.30,7.70,5.33,3.77,3.42,2.60,6.26
Ninh Thuận,Tỷ suất di cư thuần,-0.50,-2.70,0.40,-6.60,-14.20,-12.00,-0.90,4.30,-2.80,-3.50,-3.90,-1.60,-1.00,-6.40,-4.05,-1.73,-2.25,-0.86,-1.62
Phú Thọ,Tỷ suất nhập cư,2.60,4.60,2.60,2.30,2.40,4.50,3.10,6.70,5.20,2.70,1.70,1.10,1.10,1.30,1.25,1.68,0.87,0.74,2.25
Phú Thọ,Tỷ suất xuất cư,3.50,4.80,3.60,9.60,14.20,13.70,5.00,7.00,7.70,3.40,3.80,1.00,3.90,5.70,3.28,2.41,2.93,3.84,3.50
Phú Thọ,Tỷ suất di cư thuần,-0.90,-0.20,-1.10,-7.30,-11.80,-9.20,-1.90,-0.40,-2.50,-0.80,-2.20,0.00,-2.90,-4.40,-2.03,-0.73,-2.06,-3.10,-1.25
Phú Yên,Tỷ suất nhập cư,2.70,2.90,2.40,2.00,2.50,6.10,3.20,3.90,3.90,1.40,1.00,1.40,0.70,1.10,1.03,2.34,1.54,1.21,2.46
Phú Yên,Tỷ suất xuất cư,1.50,3.50,6.70,7.60,8.40,14.00,6.20,6.30,7.70,9.30,2.80,2.90,4.20,7.40,12.01,5.24,12.04,3.73,6.72
Phú Yên,Tỷ suất di cư thuần,1.20,-0.60,-4.30,-5.50,-5.90,-7.90,-3.00,-2.40,-3.80,-7.90,-1.80,-1.60,-3.40,-6.30,-10.98,-2.91,-10.50,-2.52,-4.26
Quảng Bình,Tỷ suất nhập cư,2.60,3.30,1.50,1.90,2.40,4.00,7.60,6.50,5.80,3.20,2.00,1.60,1.80,1.90,1.02,2.66,3.61,3.03,5.40
Quảng Bình,Tỷ suất xuất cư,3.40,5.70,6.90,11.50,13.40,10.30,7.60,14.50,11.40,6.60,5.30,3.30,4.90,7.30,6.63,5.40,3.53,5.19,5.20
Quảng Bình,Tỷ suất di cư thuần,-0.80,-2.40,-5.40,-9.60,-11.00,-6.30,0.00,-8.00,-5.70,-3.40,-3.30,-1.70,-3.10,-5.50,-5.60,-2.74,0.08,-2.16,0.21
Quảng Nam,Tỷ suất nhập cư,2.20,2.60,1.80,2.40,4.90,8.80,3.30,6.20,4.60,2.50,4.30,1.50,1.60,1.60,1.41,3.46,4.47,1.92,3.68
Quảng Nam,Tỷ suất xuất cư,6.50,7.10,6.10,10.40,14.60,11.10,6.90,7.70,6.70,6.30,5.10,3.00,2.80,7.70,7.07,8.14,3.14,7.74,7.56
Quảng Nam,Tỷ suất di cư thuần,-4.30,-4.50,-4.30,-8.00,-9.70,-2.30,-3.60,-1.50,-2.10,-3.80,-0.80,-1.50,-1.20,-6.00,-5.66,-4.67,1.34,-5.82,-3.87
Quảng Ngãi,Tỷ suất nhập cư,0.60,4.20,2.70,1.50,2.30,5.40,1.80,4.20,3.60,1.50,1.40,0.80,1.90,1.30,2.33,2.49,2.68,2.92,2.77
Quảng Ngãi,Tỷ suất xuất cư,5.50,7.80,5.40,11.40,12.00,13.30,7.60,6.00,8.40,3.10,2.80,7.90,5.20,9.60,6.80,5.47,5.40,6.44,7.55
Quảng Ngãi,Tỷ suất di cư thuần,-4.90,-3.60,-2.70,-10.00,-9.70,-7.90,-5.80,-1.90,-4.90,-1.60,-1.40,-7.10,-3.30,-8.30,-4.47,-2.99,-2.72,-3.51,-4.77
Quảng Ninh,Tỷ suất nhập cư,3.60,3.50,2.60,5.70,3.70,3.60,2.00,4.50,3.80,1.70,1.10,1.10,1.40,2.40,0.95,0.37,1.05,0.53,1.62
Quảng Ninh,Tỷ suất xuất cư,5.30,8.50,6.60,4.90,5.40,5.50,4.80,10.40,7.80,3.60,2.20,1.70,3.20,3.80,3.76,3.44,5.14,0.98,3.54
Quảng Ninh,Tỷ suất di cư thuần,-1.80,-5.00,-4.10,0.80,-1.70,-1.90,-2.80,-5.90,-3.90,-2.00,-1.10,-0.70,-1.80,-1.40,-2.81,-3.07,-4.09,-0.44,-1.92
Quảng Trị,Tỷ suất nhập cư,2.30,2.40,2.60,2.40,5.60,4.90,3.60,5.30,6.20,4.70,2.50,2.60,2.40,2.30,4.39,3.48,4.65,2.09,5.38
Quảng Trị,Tỷ suất xuất cư,5.60,11.50,3.60,10.20,11.40,10.00,8.40,10.20,10.90,7.40,9.20,2.40,4.90,9.50,10.59,6.65,7.65,6.31,4.66
